check,result,detail
1_refuses_when_no_learner_named,PASS,raised: OfflineAlgorithmNotSelected
2_refuses_unregistered_learner,PASS,offline_algorithm='cql' raised
3_offline_update_runs,PASS,"returned 19 keys, phase_offline=1.0, offline_updates=1.0"
4_all_returned_values_finite,PASS,all 19 values finite
5_gradients_flow_and_targets_polyak_only,PASS,max |dparam| actor=3.000e-04 critic=3.000e-04 value=3.000e-04; polyak residual=0.000e+00; target params frozen=True
6_smdp_discount_in_td_target,PASS,"reported target_mean=0.190788, recomputed gamma**delta_t=0.190788 (err 0.00e+00); constant-gamma target would be 0.192958 (gap 0.0022, so the check discriminates)"
7_expectile_loss_and_advantage,PASS,value_loss reported=0.004000 recomputed=0.004000 (err 0.00e+00); advantage_mean reported=-0.072164 recomputed=-0.072164 (err 0.00e+00)
8_no_out_of_distribution_action_query,PASS,no fresh action was sampled from the policy
9_hyperparameters_take_effect,PASS,"value_loss changed by 7.2222e-03 when expectile 0.5 -> 0.95; actor_loss changed by 4.7609e+00 when beta 3 -> 30 (same seed, same batch)"
10_extreme_advantage_stays_finite,PASS,"non-finite keys=[]; adv_weight_mean=21.875 (ceiling 100), clipped fraction=0.219"
11_real_dataset_pretrain_handover_checkpoint,PASS,"OfflineDataset batch accepted=True; pretrain 25 updates -> offline_updates=25.0, pretrained=1.0, phase=online; online step after handover finite=True; checkpoint carries value_net and reloads=True"
12_learns_a_better_policy,PASS,"1500 offline updates on a dataset whose optimum is (subchannel 0, u_power 0.75) collected under a uniform logging policy: P(ch=0) 0.225 -> 0.923 (data says 0.250); mean u_power 0.530 -> 0.736 (target 0.750, data says 0.500); mean V settled at 0.728 (behaviour mean return -0.062, achievable max 2.000); value_loss mid 0.2194 -> late 0.2139"
13_offline_lr_scale_is_real_when_set_directly,PASS,"(a) correctly ABSENT from the hpo.py search space=True (sampled keys ['actor_lr', 'alpha', 'critic_lr', 'gamma', 'hidden_dim', 'tau']); (b) assert_hparams_reach_model unreachable=[]; (c) first-step displacement ratio at scale 2.0 vs 1.0: actor=2.0000 critic=2.0000 value=2.0000 (all must be 2.000); all three optimisers agree without set_phase=True"
14_no_inert_offline_hparam_in_the_search_space,PASS,"offline-only keys ['iql_beta', 'iql_expectile', 'offline_lr_scale', 'value_lr'] all still on the constructor=True; offline stage can actually run=False (blocked by: a dataset exists but its compatibility cannot be decided from here (compatibility not decidable here: no generated.net.xml exists in the scenario directory, so V_MAX_OBS, E_REF and DELTA_MAX are the import-time FALLBACKS of an empty directory (V_MAX_OBS reads 13.32; a generated network gives about 15.9). Recording them would describe normalisers that no observation was ever built with. Call prepare_scenario() first, or pass require_scenario=False if you genuinely want the fallbacks and will not store them.); the gate stays shut rather than guessing. To decide it, run this script in a scenario directory that has been prepared, or read W1 in verify_hoorl_offline_wiring.py, which settles the same question by running the stage); offline-only keys currently sampled=none"
