check,passed,observed
buffer non-empty after a genuine SUMO episode,1,476 transitions
every transition carries reward_terms,1,476/476
reward_terms sum to the scalar reward,1,max |sum - reward| = 1.062e-07 over 476 transitions
reward_terms has one column per task,1,4 columns expected
every transition carries a neighbourhood,1,476/476
neighbourhood shapes,1,"(16, 17) and (16,)"
mask is strictly 0/1,1,"unique values [0.0, 1.0]"
padded rows are zero,1,no non-zero row behind a zero mask
the neighbourhood is not trivially empty,1,"mean 15.97 neighbours, max 16, 0.0 % empty"
no transition lists its own observation as a neighbour,1,0 violations
MADDPG-MT reports task decomposition active,1,task_decomposed=1.0
MADDPG-MT reports the global critic cooperative,1,global_critic_cooperative=1.0
I-HAMAPPO update changes once it can see the neighbourhood,1,loss -0.007981 without -> -0.007573 with (relative change 5.12 %)
RES-MAPDDPG update changes once it can see the neighbourhood,1,loss 0.039979 without -> 0.052457 with (relative change 31.21 %)
SPAM-D3QN gets a prioritized batch,1,"keys added: ['indices', 'weights']"
SPAM-D3QN reports the batch was prioritized,1,per_sampled=1.0
priorities are written back,1,32 slots updated
untouched priorities are left alone,1,444 slots unchanged
the scenario on disk covers this run's horizon,1,"flows end at 80.0 s, run needs 80.0 s"
the run did not write its parameters into make_sumo_set,1,"(3600.0, 3600.0, 20.0) -> (3600.0, 3600.0, 20.0)"
